circles,euclideanDistance,jaccardDissimilarity,treeDissimilarity,canopyCover,distanceToRoad,geographicDistance,forest_1km
DF1_NCBG5,16.381260042822664,0.368421052631579,0.5,0.07,0.28129103831747354,9.439672955459846,0.430050245
DF1_NCBG6,20.083954611186606,0.47619047619047616,0.33333333333333337,0.02,0.31387170028224287,9.501380041012315,0.430050245
DF1_NCBG8,24.482478230429237,0.65,1,0.08,0.35105664334079545,9.373510658165102,0.430050245
DF1_NCSU10,20.705177621498088,0.4375,0.8333333333333334,0.02,0.31722289940533155,38.4565995264595,0.8489754740000001
DF1_NCSU11,21.497160789757316,0.6666666666666667,0.33333333333333337,0.04,0.35035855341720434,38.422519808579025,0.8489754740000001
DF1_NCSU2,16.031899356251323,0.47058823529411764,1,0.01,0.40664482199737795,37.70518961291116,0.8489754740000001
DF1_NCSU3,19.838117051897807,0.6,1,0.02,0.4161324391699623,37.828846556152975,0.8489754740000001
DF1_NCSU9,23.883882524644374,0.5909090909090908,1,0.01,0.38849047214820615,37.79754033296411,0.8489754740000001
DF1_UNC13,22.586432819809563,0.6190476190476191,1,0.08,0.40108143601099,8.649374692212344,0.780717938
DF1_UNC14,22.972464720656173,0.6190476190476191,1,0.21,0.40650263439306655,8.520133932896417,0.780717938
DF1_UNC3,24.96817352613054,0.75,1,0,0.3955805440210621,8.734763451301763,0.780717938
DF1_UNC4,25.43435450318607,0.6363636363636364,1,0.42,0.41264376044073114,8.722279915776534,0.780717938
DF1_UNC8,23.677225972253495,0.6666666666666667,1,0,0.4227387760505475,8.617977582766127,0.780717938
DF2_DF3,12.619721114727602,0.5,0.6666666666666667,0.01,0.10269325752069239,0.10281752894917429,0
DF2_DF4,15.754143840302161,0.5,0.6,0.07,0.19539927266212265,0.19564430832056673,0
DF2_DF5,19.01189566093721,0.5,0.75,0.02,0.28658954093687256,0.3785153321764204,0
DF2_ERSP1,14.08304901880523,0.4,0.33333333333333337,0.03,0.35671463883775134,10.24609618809966,0.077997231
DF2_ERSP2,23.192771889513963,0.5,0.5,0.02,0.35261803932952246,10.304832477128498,0.077997231
DF2_ERSP3,21.236606308919676,0.5294117647058824,0.5,0.04,0.3160402591292186,10.360558870773028,0.077997231
DF2_ERSP4,18.162176654088036,0.4375,0.33333333333333337,0.1,0.2924940445959606,10.437695451700185,0.077997231
DF2_ERSP6,21.468780779410814,0.6666666666666667,0.33333333333333337,0.04,0.33490509560838816,10.589546274855332,0.077997231
DF2_JMNP1,22.40723377288645,0.6666666666666667,0.75,0.02,0.3227600614229271,3.0292824340619413,0.13063959400000003
DF2_JMNP2,17.18022773341665,0.5,0.33333333333333337,0,0.40226078540816634,2.9357539754316786,0.13063959400000003
DF2_JMNP3,21.076481822903922,0.6470588235294117,0.6666666666666667,0.02,0.3377965413965785,2.9563957501812266,0.13063959400000003
DF2_JMNP5,19.51527047802142,0.5333333333333333,1,0.1,0.4607106314894853,2.8928796729591095,0.13063959400000003
DF2_JMNP8,16.840749698333745,0.4666666666666667,0.33333333333333337,0.02,0.28069040350289076,3.0997210141678972,0.13063959400000003
DF2_NCBG1,24.276533334247343,0.6470588235294117,1,0.08,0.3266463226444309,9.264935083953404,0.430050245
DF2_NCBG4,14.294801364402987,0.41666666666666663,0.33333333333333337,0,0.2487206385741847,9.410127666176088,0.430050245
DF2_NCBG5,20.674282448965055,0.631578947368421,0.5,0.01,0.3341432277811292,9.494918713678492,0.430050245
DF2_NCBG6,23.035517454971536,0.5789473684210527,0.33333333333333337,0.04,0.3667238897458986,9.556725613541309,0.430050245
DF2_NCBG8,21.599190357212578,0.625,1,0.02,0.40390883280445117,9.428846991383862,0.430050245
DF2_NCSU10,16.213599507071283,0.46153846153846156,0.8333333333333334,0.04,0.3700750888689872,38.46798263663006,0.8489754740000001
DF2_NCSU11,19.767230595142628,0.7333333333333334,0.33333333333333337,0.02,0.40321074288086006,38.4338828000049,0.8489754740000001
DF2_NCSU2,17.296077229755163,0.6,1,0.07,0.45949701146103367,37.7158614287082,0.8489754740000001
DF2_NCSU3,17.201882411332065,0.7222222222222222,1,0.08,0.468984628633618,37.83943142140446,0.8489754740000001
DF2_NCSU9,24.656948760776885,0.7,1,0.05,0.44134266161186186,37.80888157303081,0.8489754740000001
DF2_UNC13,21.329414394020713,0.5882352941176471,1,0.14,0.45393362547464566,8.706690178072408,0.780717938
DF2_UNC14,21.15411375811933,0.6666666666666667,1,0.15,0.45935482385672227,8.577424304773126,0.780717938
